No	Sample	N_SNPs	F_percent	E_percent	A_percent	full	N_SNPs	F_percent_pruned	E_percent_pruned	A_percent_pruned	pruned
96	HpGP-CHI-024	142237	31.41	65.85	2.74	hpgpEuroamerica	44787	34.2	62.47	3.32	hpgpEuroamerica
97	HpGP-CHI-026	142237	28.79	69.45	1.76	hpgpEuroamerica	44787	29.88	70.12	0	hpgpEuroamerica
98	HpGP-CHI-027	142237	37.14	48.95	13.9	hpgpEuroamerica	44787	37.54	48.63	13.83	hpgpEuroamerica
99	HpGP-CHI-028	142237	31.36	65.94	2.71	hpgpEuroamerica	44787	31.7	65.03	3.27	hpgpEuroamerica
100	HpGP-CHI-101	142237	14.57	79.11	6.33	hpgpMediterranea	44787	16.66	76.65	6.69	hpgpMediterranea
101	HpGP-CHI-102	142237	16.51	81.05	2.44	hpgpMediterranea	44787	21.05	77.48	1.47	hpgpMediterranea
102	HpGP-CHI-103	142237	16.28	83.72	0	hpgpMediterranea	44787	17.27	82.73	0	hpgpMediterranea
103	HpGP-CHI-104	142237	14.74	68.9	16.36	hpgpMediterranea	44787	17.12	68.61	14.27	hpgpMediterranea
104	HpGP-CHI-105	142237	23.54	0	76.46	hpgpAklavik86-like	44787	0	44.62	55.38	hpgpAklavik86-like
105	HpGP-CHI-106	142237	20.59	79.41	0	hpgpMediterranea	44787	23.49	76.51	0	hpgpMediterranea
106	HpGP-CHI-107	142237	16.41	83.59	0	hpgpMediterranea	44787	19.5	80.5	0	hpgpMediterranea
107	HpGP-CHI-110	142237	15.12	77.43	7.45	hpgpMediterranea	44787	18.59	74.55	6.86	hpgpMediterranea
108	HpGP-CHI-113	142237	16.07	78.18	5.75	hpgpMediterranea	44787	20.27	75.63	4.1	hpgpMediterranea
109	HpGP-CHI-114	142237	18.12	81.88	0	hpgpMediterranea	44787	21.86	78.14	0	hpgpMediterranea
110	HpGP-CHI-116	142237	23.14	0	76.86	hpgpAklavik86-like	44787	0	42.41	57.59	hpgpAklavik86-like
111	HpGP-CHI-117	142237	14.05	79.42	6.53	hpgpMediterranea	44787	17.93	75.96	6.11	hpgpMediterranea
112	HpGP-CHI-119	142237	34.53	50.62	14.85	hpgpEuroamerica	44787	32.87	53.37	13.76	hpgpEuroamerica
113	HpGP-CHI-120	142237	61.55	14.62	23.83	hpgpAfroamerica	44787	58.02	17.54	24.44	hpgpAfroamerica
114	HpGP-CHI-122	142237	40.68	53.34	5.98	hpgpEuroamerica	44787	38.74	57.78	3.47	hpgpEuroamerica
115	HpGP-CHI-123	142237	25.89	71.82	2.3	hpgpEuroamerica	44787	27.8	70.97	1.24	hpgpEuroamerica
116	HpGP-CHI-124	142237	52.73	34.34	12.94	hpgpAfroamerica	44787	47.44	42.69	9.87	hpgpAfroamerica
117	HpGP-CHI-125	142237	31.25	65.51	3.25	hpgpEuroamerica	44787	32.58	65.45	1.97	hpgpEuroamerica
118	HpGP-CHI-126	142237	16.71	78.86	4.43	hpgpMediterranea	44787	18.75	77.25	3.99	hpgpMediterranea
119	HpGP-CHI-127	142237	34.22	57.85	7.93	hpgpEuroamerica	44787	31.14	62.93	5.93	hpgpEuroamerica
120	HpGP-CHI-204	142237	17.34	66.28	16.38	hpgpMediterranea	44787	18.6	64.56	16.84	hpgpMediterranea
121	HpGP-CHI-207	142237	28.81	71.19	0	hpgpEuroamerica	44787	32.03	67.97	0	hpgpEuroamerica
122	HpGP-CHI-208	142237	0.5	3.09	96.41	hpgpAsia	44787	0.52	0.43	99.05	hpgpAsia
123	HpGP-CHI-209	142237	35.71	61.93	2.36	hpgpEuroamerica	44787	35.55	63.59	0.87	hpgpEuroamerica
124	HpGP-CHI-210	142237	17.17	82.83	0	hpgpMediterranea	44787	17.85	82.15	0	hpgpMediterranea
125	HpGP-CHI-212	142237	39.94	57.14	2.92	hpgpEuroamerica	44787	39.36	59.15	1.49	hpgpEuroamerica
126	HpGP-CHN-001	142237	0	0	100	hpgpAsia	44787	0.81	0	99.19	hpgpAsia
127	HpGP-CHN-002	142237	0	2.61	97.39	hpgpAsia	44787	0	0.83	99.17	hpgpAsia
128	HpGP-CHN-003	142237	0	0	100	hpgpAsia	44787	1.96	0	98.04	hpgpAsia
129	HpGP-CHN-004	142237	0	2.32	97.68	hpgpAsia	44787	0.55	0	99.45	hpgpAsia
130	HpGP-CHN-005	142237	0	0	100	hpgpAsia	44787	0	0	100	hpgpAsia
131	HpGP-CHN-006	142237	0	1.69	98.31	hpgpAsia	44787	0.5	0	99.5	hpgpAsia
132	HpGP-CHN-007	142237	0	0	100	hpgpAsia	44787	1.14	0	98.86	hpgpAsia
133	HpGP-CHN-008	142237	0	9.25	90.75	hpgpAsia	44787	3.28	2.93	93.78	hpgpAsia
134	HpGP-CHN-009	142237	0	0	100	hpgpAsia	44787	0.21	0	99.79	hpgpAsia
135	HpGP-CHN-010	142237	0	0	100	hpgpAsia	44787	1.23	0	98.77	hpgpAsia
136	HpGP-COG-001	142237	99.35	0.65	0	hpgpAfrica	44787	96.1	0	3.9	hpgpAfrica
137	HpGP-COG-002	142237	21.31	78.69	0	hpgpMediterranea	44787	22.51	77.49	0	hpgpMediterranea
138	HpGP-COG-003	142237	100	0	0	hpgpAfrica	44787	96.39	0	3.61	hpgpAfrica
139	HpGP-COG-004	142237	98.54	1.46	0	hpgpAfrica	44787	96.47	0	3.53	hpgpAfrica
140	HpGP-COG-005	142237	98.6	1.4	0	hpgpAfrica	44787	97.03	0	2.97	hpgpAfrica
141	HpGP-COG-006	142237	99.58	0.42	0	hpgpAfrica	44787	95.72	0	4.28	hpgpAfrica
142	HpGP-COG-007	142237	96.68	3.32	0	hpgpAfrica	44787	98.24	0	1.76	hpgpAfrica
143	HpGP-COG-008	142237	100	0	0	hpgpAfrica	44787	96.06	0	3.94	hpgpAfrica
144	HpGP-COG-009	142237	98.43	1.57	0	hpgpAfrica	44787	95.83	0	4.17	hpgpAfrica
145	HpGP-COG-010	142237	99.73	0.27	0	hpgpAfrica	44787	95.63	0	4.37	hpgpAfrica
146	HpGP-COG-011	142237	99.23	0.77	0	hpgpAfrica	44787	95.36	0	4.64	hpgpAfrica
147	HpGP-COL-002	142237	16.51	83.49	0	hpgpMediterranea	44787	20.53	79.47	0	hpgpMediterranea
148	HpGP-COL-003	142237	73.89	26.11	0	hpgpAfroamerica	44787	68.68	31.32	0	hpgpAfroamerica
149	HpGP-COL-004	142237	18.31	81.69	0	hpgpMediterranea	44787	20.4	79.6	0	hpgpMediterranea
150	HpGP-COL-005	142237	22.58	77.42	0	hpgpMediterranea	44787	24.75	75.25	0	hpgpMediterranea
151	HpGP-COL-006	142237	63.91	36.09	0	hpgpAfroamerica	44787	62.17	37.83	0	hpgpAfroamerica
152	HpGP-COL-008	142237	31.82	68.18	0	hpgpEuroamerica	44787	33.14	66.86	0	hpgpEuroamerica
153	HpGP-COL-010	142237	17.95	82.05	0	hpgpMediterranea	44787	21.61	78.39	0	hpgpMediterranea
154	HpGP-COL-102	142237	65.84	34.16	0	hpgpAfroamerica	44787	62.53	37.47	0	hpgpAfroamerica
155	HpGP-COL-103	142237	36.97	63.03	0	hpgpEuroamerica	44787	39.61	60.25	0.14	hpgpEuroamerica
156	HpGP-COL-104	142237	32.03	67.97	0	hpgpEuroamerica	44787	30.9	69.1	0	hpgpEuroamerica
157	HpGP-COL-105	142237	25.29	74.71	0	hpgpMediterranea	44787	25.36	74.64	0	hpgpMediterranea
158	HpGP-COL-106	142237	19.39	80.61	0	hpgpMediterranea	44787	21.5	78.5	0	hpgpMediterranea
159	HpGP-COL-107	142237	29.24	70.37	0.39	hpgpEuroamerica	44787	30.33	69.67	0	hpgpEuroamerica
160	HpGP-COL-108	142237	69.64	30.36	0	hpgpAfroamerica	44787	69.01	30.99	0	hpgpAfroamerica
161	HpGP-COL-109	142237	60.08	39.92	0	hpgpAfroamerica	44787	57.76	42.24	0	hpgpAfroamerica
162	HpGP-COL-110	142237	37.23	62.77	0	hpgpEuroamerica	44787	35.05	64.95	0	hpgpEuroamerica
163	HpGP-COL-112	142237	31.35	68.65	0	hpgpEuroamerica	44787	33.73	66.27	0	hpgpEuroamerica
164	HpGP-COL-113	142237	35.5	64.5	0	hpgpEuroamerica	44787	34.63	65.37	0	hpgpEuroamerica
165	HpGP-COL-114	142237	32.53	67.47	0	hpgpEuroamerica	44787	31.42	68.58	0	hpgpEuroamerica
166	HpGP-COL-118	142237	29.13	70.87	0	hpgpEuroamerica	44787	29.55	70.45	0	hpgpEuroamerica
167	HpGP-COL-119	142237	32.04	67.96	0	hpgpEuroamerica	44787	31.59	68.41	0	hpgpEuroamerica
168	HpGP-COL-120	142237	30.94	69.06	0	hpgpEuroamerica	44787	29.9	70.1	0	hpgpEuroamerica
169	HpGP-COL-121	142237	27.56	72.44	0	hpgpEuroamerica	44787	29.28	70.72	0	hpgpEuroamerica
170	HpGP-COL-122	142237	33.29	66.71	0	hpgpEuroamerica	44787	32.02	67.98	0	hpgpEuroamerica
171	HpGP-COL-201	142237	21.22	78.78	0	hpgpMediterranea	44787	24.39	75.61	0	hpgpMediterranea
172	HpGP-COL-202	142237	21	79	0	hpgpMediterranea	44787	24.37	75.63	0	hpgpMediterranea
173	HpGP-COL-203	142237	24.61	75.39	0	hpgpMediterranea	44787	25.44	74.56	0	hpgpMediterranea
174	HpGP-COL-204	142237	35.56	60.81	3.63	hpgpEuroamerica	44787	34.65	63.28	2.07	hpgpEuroamerica
175	HpGP-COL-205	142237	89.55	10.45	0	hpgpAfrica	44787	94.98	0.72	4.29	hpgpAfrica
176	HpGP-COL-206	142237	43.93	54.5	1.57	hpgpEuroamerica	44787	44.78	55.01	0.22	hpgpEuroamerica
177	HpGP-COL-207	142237	79.37	18.5	2.13	hpgpAfroamerica	44787	83.24	9.77	6.99	hpgpAfroamerica
178	HpGP-COL-208	142237	91.79	7.4	0.81	hpgpAfrica	44787	92.43	0	7.57	hpgpAfrica
179	HpGP-COL-209	142237	24.1	75.9	0	hpgpMediterranea	44787	26.69	73.31	0	hpgpMediterranea
180	HpGP-COL-210	142237	31.97	65.5	2.53	hpgpEuroamerica	44787	33.34	64.5	2.16	hpgpEuroamerica
181	HpGP-COL-211	142237	41.76	58.14	0.1	hpgpEuroamerica	44787	38.98	61.02	0	hpgpEuroamerica
182	HpGP-COL-301	142237	31.76	68.24	0	hpgpEuroamerica	44787	32.65	67.35	0	hpgpEuroamerica
183	HpGP-COL-302	142237	34.06	65.94	0	hpgpEuroamerica	44787	33.47	66.53	0	hpgpEuroamerica
184	HpGP-COL-303	142237	30.57	67.15	2.28	hpgpEuroamerica	44787	32.55	66.6	0.85	hpgpEuroamerica
185	HpGP-COL-305	142237	17.53	82.47	0	hpgpMediterranea	44787	19.92	80.08	0	hpgpMediterranea
186	HpGP-COL-306	142237	82.97	17.03	0	hpgpAfroamerica	44787	84.88	12.17	2.94	hpgpAfroamerica
187	HpGP-COL-307	142237	26.88	73.12	0	hpgpEuroamerica	44787	28.81	71.19	0	hpgpEuroamerica
188	HpGP-COL-308	142237	32.55	67.45	0	hpgpEuroamerica	44787	30.82	69.18	0	hpgpEuroamerica
189	HpGP-COL-309	142237	28.57	71.43	0	hpgpEuroamerica	44787	29.88	70.12	0	hpgpEuroamerica
190	HpGP-COL-310	142237	18.51	81.49	0	hpgpMediterranea	44787	21.71	78.29	0	hpgpMediterranea
191	HpGP-COL-318	142237	52.5	47.5	0	hpgpAfroamerica	44787	54.38	45.62	0	hpgpAfroamerica
192	HpGP-CRI-001	142237	33.53	66.47	0	hpgpEuroamerica	44787	33.03	66.97	0	hpgpEuroamerica
193	HpGP-CRI-002	142237	33.45	66.55	0	hpgpEuroamerica	44787	33.55	66.45	0	hpgpEuroamerica
194	HpGP-CRI-003	142237	27.19	72.81	0	hpgpEuroamerica	44787	25.15	74.85	0	hpgpEuroamerica
195	HpGP-CRI-004	142237	75.05	24.95	0	hpgpAfroamerica	44787	75.82	24.18	0	hpgpAfroamerica
196	HpGP-CRI-005	142237	26.9	73.1	0	hpgpEuroamerica	44787	26.35	73.65	0	hpgpEuroamerica
197	HpGP-CRI-006	142237	24.96	75.04	0	hpgpEuroamerica	44787	28.14	71.86	0	hpgpEuroamerica
198	HpGP-CRI-007	142237	77.82	22.18	0	hpgpAfroamerica	44787	77.3	22.7	0	hpgpAfroamerica
199	HpGP-CRI-008	142237	28.45	71.55	0	hpgpEuroamerica	44787	26.24	73.76	0	hpgpEuroamerica
200	HpGP-DOM-001	142237	20.09	79.91	0	hpgpMediterranea	44787	20.69	79.31	0	hpgpMediterranea
201	HpGP-DOM-002	142237	18.76	81.24	0	hpgpMediterranea	44787	20.39	79.61	0	hpgpMediterranea
202	HpGP-DOM-003	142237	27.42	72.58	0	hpgpEuroamerica	44787	28.28	71.72	0	hpgpEuroamerica
203	HpGP-DOM-004	142237	100	0	0	hpgpAfrica	44787	98.3	0	1.7	hpgpAfrica
204	HpGP-DOM-005	142237	28.36	71.64	0	hpgpEuroamerica	44787	28.04	71.96	0	hpgpEuroamerica
205	HpGP-DOM-006	142237	96.28	3.72	0	hpgpAfrica	44787	98.6	0	1.4	hpgpAfrica
206	HpGP-DOM-007	142237	66.17	33.83	0	hpgpAfroamerica	44787	67.21	32.79	0	hpgpAfroamerica
207	HpGP-DOM-008	142237	26.17	73.83	0	hpgpMediterranea	44787	25.77	74.23	0	hpgpMediterranea
208	HpGP-DOM-009	142237	20.81	79.19	0	hpgpMediterranea	44787	22.32	77.68	0	hpgpMediterranea
209	HpGP-DOM-010	142237	22.37	77.63	0	hpgpMediterranea	44787	24.49	75.51	0	hpgpMediterranea
210	HpGP-DOM-011	142237	99.85	0.15	0	hpgpAfrica	44787	97.27	0	2.73	hpgpAfrica
211	HpGP-FRA-001	142237	23.31	76.69	0	hpgpMediterranea	44787	24.93	75.07	0	hpgpMediterranea
212	HpGP-FRA-002	142237	11.95	88.05	0	hpgpMediterranea	44787	13.04	86.96	0	hpgpMediterranea
213	HpGP-FRA-003	142237	13.35	86.65	0	hpgpMediterranea	44787	12.05	87.95	0	hpgpMediterranea
214	HpGP-FRA-004	142237	11.77	88.23	0	hpgpMediterranea	44787	13.59	86.41	0	hpgpMediterranea
215	HpGP-FRA-005	142237	15.41	84.59	0	hpgpMediterranea	44787	18.06	81.94	0	hpgpMediterranea
216	HpGP-FRA-006	142237	2.47	97.53	0	hpgpEurope	44787	7.13	92.87	0	hpgpEurope
217	HpGP-FRA-007	142237	0	96.74	3.26	hpgpEurope	44787	0	98.41	1.59	hpgpEurope
218	HpGP-FRA-008	142237	6.61	93.39	0	hpgpEurope	44787	8.49	91.51	0	hpgpEurope
219	HpGP-FRA-009	142237	23.54	76.46	0	hpgpMediterranea	44787	23.11	76.89	0	hpgpMediterranea
220	HpGP-FRA-010	142237	18.16	81.84	0	hpgpMediterranea	44787	21.84	78.16	0	hpgpMediterranea
221	HpGP-FRA-011	142237	5.75	94.25	0	hpgpEurope	44787	6.25	93.75	0	hpgpEurope
222	HpGP-FRA-012	142237	6.51	93.49	0	hpgpEurope	44787	6.76	93.24	0	hpgpEurope
223	HpGP-FRA-013	142237	1.89	98.11	0	hpgpEurope	44787	4.5	95.5	0	hpgpEurope
224	HpGP-FRA-014	142237	6.51	93.49	0	hpgpEurope	44787	6.84	93.16	0	hpgpEurope
225	HpGP-FRA-015	142237	2.13	97.87	0	hpgpEurope	44787	4.22	95.78	0	hpgpEurope
226	HpGP-FRA-016	142237	5.11	94.89	0	hpgpEurope	44787	7.02	92.98	0	hpgpEurope
227	HpGP-FRA-017	142237	26.22	73.78	0	hpgpEuroamerica	44787	29.44	70.56	0	hpgpEuroamerica
228	HpGP-FRA-018	142237	10.37	89.63	0	hpgpMediterranea	44787	12.99	87.01	0	hpgpMediterranea
